110	110	W AH N T I AH N;
Cornum	_cornum_	K AO R N AH M;
Cornus	_cornus_	K AO R N AH S;
Cornville	_cornville_	K AO R N V IH L;
Cornwall	_cornwall_	K AO R N W AO L;
Cornwallis	_cornwallis_	K AO R N W AO L IH S;
Cornwell	_cornwell_	K AO R N W EH L;
Corona	_corona_	K AO R O N AH;
Corona	_corona_	K ER O N AH;
Coronado	_coronado_	K ER O N AA D O;
Coronado	_coronado_	K ER O N AA T O;
Corporacion	_corporacion_	K AO R P AO R EI SH AH N;
Corporacion	_corporacion_	K AO R P ER AH S I AO N;
Corporacion	_corporacion_	K AO R P ER EI SH AH N;
Corporal	_corporal_	K AO R P ER AH L;
Corporation	_corporation_	K AO R P ER EI SH AH N;
Corsetti	_corsetti_	K ER S EH T I;
Corti	_corti_	K AO R T I;
Corticaine	_corticaine_	K AO R D IH K EI N;
Corticaine	_corticaine_	K AO R T AH K EI N;
Corticaine	_corticaine_	K AO R T I K EI N;
Corticaine	_corticaine_	K AO R T IH K AH I N;
Corticaine	_corticaine_	K AO R T IH K AH N;
Corticaine	_corticaine_	K AO R T IH K EI N;
Corticool	_corticool_	K AO R T AH K U L;
Corticool	_corticool_	K AO R T I K AO L;
Corticool	_corticool_	K AO R T I K U L;
Corticool	_corticool_	K AO R T IH K U L;
Corticosporin	_corticosporin_	K AO R T AH K O S P AO R IH N;
Corticosporin	_corticosporin_	K AO R T IH K O S P AO R IH N;
Corticosporin	_corticosporin_	K AO R T IH S O S P AO R IH N;
Corticreme	_corticreme_	K AO R T AH K R I M;
Corticreme	_corticreme_	K AO R T I K R I M;
Corticreme	_corticreme_	K AO R T IH K R I M;
Cortimyxin	_cortimyxin_	K AO R D IH M IH K S IH N;
Cortimyxin	_cortimyxin_	K AO R T AH M IH K S IH N;
Cortimyxin	_cortimyxin_	K AO R T IH M IH K S IH N;
Corynebacterium	_corynebacterium_	K AO R AI N EH B AE K T IH R I AH M;
Corynebacterium	_corynebacterium_	K AO R AI N IH B AE K T IH R I AH M;
Corynebacterium	_corynebacterium_	K AO R I N EH B AE K T IH R I AH M;
Coxsackie	_coxsackie_	K AA K S AE K I;
Crananidin	_crananidin_	K R AH N AE N AH D IH N;
Crananidin	_crananidin_	K R AH N AE N IH D IH N;
Craniopharyngioma	_craniopharyngioma_	K R EI N J AH F AE R AH N JH O M AH;
Crohn's	crohn_s	K R AA N Z;
Crohn's	crohn_s	K R O N Z;
Cryptococcus	_cryptococcus_	K R IH P T AH K AO K AH S;
Cryptococcus	_cryptococcus_	K R IH P T AH K O K J U Z;
Cryptosporidium	_cryptosporidium_	K R IH P T AH S P AO R IH D I AH M;
Cryptosporidium	_cryptosporidium_	K R IH P T O S P AO R IH D I AH M;
Cryptostroma	_cryptostroma_	K R IH P T O S T R O M AH;
Crystal	_crystal_	K R IH S T AH L;
Curo	_curo_	K J U R O;
Curo	_curo_	K J UH R O;
Curo L5	curo_l5	K J UH R O EH L F AI V;
Cushing's	_cushing_s_	K UH SH IH NG Z;
Cutimed Sorbact	cutimed_sorbact	K J U D AH M EH D S AO R B AE K;
Cutimed Sorbact	cutimed_sorbact	K J U T IH M EH D S AO R B AE K T;
Cyclen	_cyclen_	S AI K L AH N;
Cyclen	_cyclen_	S AI K L EH N;
Cyclen	_cyclen_	S AI K L I N;
Cystex	_cystex_	S IH S T EH K S;
Cystex	_cystex_	S IH S T IH K S;
Cysticercus	_cysticercus_	S IH S T IH S ER R K J U Z;
Cysticercus	_cysticercus_	S IH S T IH S K AH S;
Cysticercus	_cysticercus_	S IH S T IH S R K AH S;
Cystistat	_cystistat_	S IH S T AH S T AE T;
Cystistat	_cystistat_	S IH S T I S T AH T;
Cystistat	_cystistat_	S IH S T S T AE T;
Cystocath	_cystocath_	S IH S T AA K AE TH;
Cystocath	_cystocath_	S IH S T AA K AH TH;
Cystocath	_cystocath_	S IH S T O K AE TH;
D-dimer	d_dimer	D AH D AI M ER;
D-dimer	d_dimer	D I D AI M AH R;
D-dimer	d_dimer	D I D AI M ER;
D-dimer	d_dimer	D I D IH M ER;
D-dimer assay	d_dimer_assay	D AH D AI M ER AE S EI;
D-dimer assay	d_dimer_assay	D I D AI M AH R AE S EI;
D-dimer assay	d_dimer_assay	D I D AI M ER AE S EI;
D-dimer test	d_dimer_test	D AH D AI M ER T EH S T;
D-dimer test	d_dimer_test	D I D AI M AH R T EH S T;
D-dimer test	d_dimer_test	D I D AI M ER T EH S T;
D-dimer test	d_dimer_test	D I D IH M ER T EH S T;
D/T	_d_t_	D I S L AE SH T I;
DABDA	_dabda_	D AE B D AH;
DABDA	_dabda_	D I EI B I D I EI;
DGE	d_g_e	D I JH I I;
Dermatochalasia	_dermatochalasia_	D ER R M AH T O K AH L EI ZH AH;
Dermatochalasis	_dermatochalasis_	D ER R M AE T O K AH L EI S IH S;
Descemet's	_descemet_s_	D IH S AH M EH T S;
Descemet's	_descemet_s_	D IH S AH M EI T S;
Descemet's	_descemet_s_	D IH S AH M EI Z;
Dexcom	_dexcom_	D EH K S K AA M;
Digihaler	_digihaler_	D IH JH AH H EI L ER;
Dipylidium	_dipylidium_	D AI P AH L IH D I AH M;
Dipylidium	_dipylidium_	D IH P AI L IH D I AH M;
Dipylidium	_dipylidium_	D IH P IH L IH D I AH M;
Dipylidium caninum	dipylidium_caninum	D IH P IH L IH D I AH M K EI N IH N AH M;
DiscCoVisc	_disccovisc_	D IH S K AH V IH S K;
DiscCoVisc	_disccovisc_	D IH S K O V IH S K;
Dosepak	_dosepak_	D O S P AE K;
Dosepaks	_dosepaks_	D O S P AE K S;
Down's	_down_s_	D AU N Z;
Duchenne's	_duchenne_s_	D AH SH EH N Z;
Duchenne's	_duchenne_s_	D U SH EH N I Z;
Duchenne's	_duchenne_s_	D U SH EH N Z;
Dukes	_dukes_	D J U K S;
Dukes	_dukes_	D U K S;
Dukes A	_dukes_a	D U K S EI;
Dukes B	_dukes_b	D U K S B I;
Dukes B1	_dukes_b1	D U K S B I W AH N;
Dukes B2	_dukes_b2	D U K S B I T U;
Dukes C	_dukes_c	D U K S S I;
Dukes C1	_dukes_c1	D U K S I W AH N;
Dukes C2	_dukes_c2	D U K S I T U;
Dukes D	_dukes_d	D U K S D I;
Dukes D1	_dukes_d1	D U K S D I W AH N;
Dukes D2	_dukes_d2	D U K S D I T U;
Duodopa	_duodopa_	D J U O D O P AH;
Duodopa	_duodopa_	D U O D O P AH;
Dupuytren's	_dupuytren_s_	D AH P W I T R AE N Z;
Dupuytren's	_dupuytren_s_	D AH P W I T R EH N Z;
Dupuytren's	_dupuytren_s_	D U P W I T R AE N Z;
Dupuytren's	_dupuytren_s_	D U P W I T R EH N Z;
Durkan's	_durkan_s	D ER K AH N Z;
EBUS	e_b_u_s	I B AH S;
EMG's	_e_m_g_s_	AX M G Z;
ENT's	e_n_t_s	I EH N T I Z;
EQ	e_q	I K J U;
Eaton	_eaton_	I T AH N;
Eaton-Lambert	eaton_lambert	I D AH N L AE M B ER T;
Eaton-Lambert	eaton_lambert	I T AA N L AE M B ER T;
Eaton-Lambert	eaton_lambert	I T AH N L AE M B ER T;
Ebstein's	_ebstein_s_	AH B S T AI N Z;
Ebstein's	_ebstein_s_	AH B S T EI N Z;
Edser	_edser_	EH D S ER;
Edser Labs	edser_labs	EH D Z ER L AE B Z;
Epworth	_epworth_	EH P W ER R TH;
Epworth	_epworth_	EH P W ER TH;
Epworth Sleep Scale	epworth_sleep_scale	EH P W ER TH S L I P S K EI L;
Epworth Sleepiness Scale	epworth_sleepiness_scale	EH P W ER TH S L I P I N IH S S K EI L;
Epworth Sleepiness Scale	epworth_sleepiness_scale	EH P W ER TH S L I P IH N AH S S K EI L;
Erythroplasia of Queyrat	erythroplasia_of_queyrat	AH R IH TH R O P L EI ZH AH AH F K W EI R AE T;
Erythroplasia of Queyrat	erythroplasia_of_queyrat	I R IH TH R O P L EI ZH AH AH V K W EI R AE T;
Ewing sarcoma	ewing_sarcoma	J U W IH NG S AA R K O M AX;
Ewing's	_ewing_s_	J U IH NG Z;
Exofin	exofin	EH K S AH F IH N;
Exofin	exofin	EH K S O F IH N;
Expandacell	_expandacell_	EH K S P AE N D AX S EH L;
Expedium	_expedium_	EH K S P I D I AX M;
Expedium	_expedium_	IH K S P I D I AX M;
Exufiber	_exufiber_	EH K S J U F AI B ER;
FADIR's	f_a_d_i_r_s	F EI D AH R Z;
FADIR's	f_a_d_i_r_s	F EI D ER R Z;
FDRT	f_d_r_t	EH F D I AA R T I;
FDgard	f_d_gard	EH F D I G AA R D;
FRAPs	_fraps_	F R AE P S;
FRED System	_fred_system_	F R EH D S IH S T EH M;
FRED System	_fred_system_	F R EH D Z IH S T AH M;
FRED device	_fred_device_	F R EH D AH V AI S;
Fabry's	_fabry_s_	F AE B R I Z;
Fallot's	_fallot_s_	F AE L AH T S;
Fallot's	_fallot_s_	F AE L O Z;
Fallot's	_fallot_s_	F AH L AA T S;
Fallot's	_fallot_s_	F AH L O Z;
Fanconi's	_fanconi_s_	F AA N K O N I Z;
Fanconi's	_fanconi_s_	F AE N K O N I Z;
Flye	_flye_	F L AI;
Fortin's	_fortin_s_	F AO R T AH N Z;
Fortin's	_fortin_s_	F AO R T I N Z;
Fortin's	_fortin_s_	F AO R T IH N Z;
Fournier	_fournier_	F AO R N I EI;
Freiberg's	_freiberg_s_	F R AI B ER G Z;
G-POEM	g_poem	JH I P O AH M;
G. vaginalis	g_vaginalis	JH I V AE JH AH N AE L IH S;
G. vaginalis	g_vaginalis	JH I V AE JH AH N AH L AH S;
G. vaginalis	g_vaginalis	JH I V AH JH AI N AH L AH S;
G1	g_1	JH I H W AH N;
G1	g_1	JH I W AH N;
G2	g_2	JH I T U;
G3	g_3	JH I TH R I;
GAIL model	gail_model	G EI L M AA D AX L;
GNE	_gne_	JH I EH N I;
GX	g_x	JH I EH K S;
Gaucher's	_gaucher_s_	G AO CH ER Z;
Gaucher's	_gaucher_s_	G AO SH AI Z;
Gaucher's	_gaucher_s_	G AO SH EI Z;
Gaucher's	_gaucher_s_	G AU CH ER Z;
Gaucher's	_gaucher_s_	G AU SH AI Z;
Gaucher's	_gaucher_s_	G AU SH EI Z;
Gaucher's	_gaucher_s_	G O SH AI Z;
Gaucher's	_gaucher_s_	G O SH EI Z;
Gaucher's	_gaucher_s_	G O SH ER Z;
Gegenhalten	_gegenhalten_	G EH G AH N H AO L T AH N;
Geri	_geri_	JH EH R I;
Geri chair	geri_chair	JH EH R I CH EH R;
Gerota's	_gerota_s_	G AH R O T AH Z;
Gerota's	_gerota_s_	G R O T AH Z;
Gerota's	_gerota_s_	JH AH R O T AH Z;
Gilles	_gilles_	JH IH L Z;
Gilles de la Tourette	gilles_de_la_tourette	JH IH L Z D AH L AA T ER EH T;
Gilles de la Tourette	gilles_de_la_tourette	JH IH L Z D AH L AH T ER EH T;
Gilles de la Tourette	gilles_de_la_tourette	ZH I L D UH L AA T U R EH T;
Gilles de la Tourette's	gilles_de_la_tourette_s	JH IH L Z D AH L AA T ER EH T S;
Gimbernat's	_gimbernat_s_	G IH M B AH R N AE T S;
Gimbernat's	_gimbernat_s_	G IH M B ER N AA T S;
Gimbernat's	_gimbernat_s_	G IH M B ER N AH T S;
Gingko	_gingko_	G IH NG K O;
Gingko biloba	gingko_biloba	G IH NG K O B IH L O B AH;
Glanzmann's	_glanzmann_s_	G L AE N Z M AH N Z;
Glasgow's	glasgow_s	G L AE S G O Z;
Gleason's	_gleason_s_	G L I S AH N Z;
Glisson's	_glisson_s_	G L AH S AH N Z;
Glisson's	_glisson_s_	G L IH S AH N Z;
Glycobalance	_glycobalance_	G L AI K O B AE L AH N S;
Goldenhar's	_goldenhar_s_	G O L D AH N H AA R Z;
Goldenhar's	_goldenhar_s_	G O L D AH N H AO R Z;
Goldenhar's	_goldenhar_s_	G O L D AH N H ER Z;
Gottron's	_gottron_s_	G AO T R AH N Z;
Grasil	_grasil_	G R AA S IH L;
Graston	_graston_	G R AE S T AH N;
Graston's	graston_s	G R AE S T AH N Z;
Grocott's	_grocott_s_	G R AA K AA T S;
Grocott's	_grocott_s_	G R AA K AH T S;
Grocott's	_grocott_s_	G R O K AA T S;
Groshong	_groshong_	G R AA SH AA N G;
Groshong catheter	_groshong_catheter_	G R AA SH AA N G K AE TH EH T ER;
Grover's	_grover_s_	G R O V ER Z;
Gufoni	_gufoni_	G U F O N I;
Gupta's	gupta_s	G UH P T AH Z;
Guyon's	_guyon_s_	G AI AA N Z;
H. vaginalis	h_vaginalis	EI CH V AE JH AH N AE L IH S;
H. vaginalis	h_vaginalis	EI CH V AE JH AH N AH L AH S;
H. vaginalis	h_vaginalis	EI CH V AH JH AI N AH L AH S;
HFpEF	h_f_p_e_f	EI CH EH F P I I EH F;
HIDA scan	hida_scan	H AI D AX S K AE N;
HLA-A	h_l_a_a	EI CH EH L EI AH;
HLA-B	h_l_a_b	EI CH EH L EI B I;
HLA-B27	h_l_a_b_27	EI CH EH L EI B I T W EH N I S EH V AH N;
HLA-B27	h_l_a_b_27	EI CH EH L EI B I T W EH N T I S EH V AH N;
HLA-B27	h_l_a_b_27	EI CH EH L EI B I T W EH N T IH S EH V AX N;
HPK	h_p_k	EI CH P I K EI;
HU508	h_u_5_0_8	EI CH U F AI V O EI T;
Haglund's	_haglund_s_	H AE G L AH N D Z;
Halban's	_halban_s_	H AA L B AH N Z;
Halban's	_halban_s_	H AE L B AE N Z;
Halban's	_halban_s_	H AE L B AH N Z;
Haller's	_haller_s_	H AE L ER Z;
Haller's	_haller_s_	H AO L ER Z;
Hallervorden Spatz	hallervorden_spatz	H AE L EH R V AO R D AH N S P AA T S;
Hallpike-Dix	_hallpike_dix_	H AA L P AI K D IH K S;
HandiHaler	_handihaler_	H AE N D I H EI L AH R;
HandiHaler	_handihaler_	H AE N D IH H EI L ER;
Hartmann's	_hartmann_s_	H AA R T M AH N Z;
Hashimoto's	_hashimoto_s_	H AA SH I M O T O Z;
Hashimoto's	_hashimoto_s_	H AE SH I M O T O Z;
Hashimoto's	_hashimoto_s_	H AE SH IH M O T O Z;
Heaton	_heaton_	H I T AX N;
Heberden's	_heberden_s_	H EH B AH R D AH N Z;
Heberden's	_heberden_s_	H EH B AH R D EH N Z;
Heberden's	_heberden_s_	H EH B ER R D EH N Z;
Hedinger	_hedinger_	H EH D IH N JH ER;
Hedinger	_hedinger_	H EH D IH NG G ER;
Hedley	_hedley_	H EH D L I;
Hertel	_hertel_	H ER T EH L;
Hertel's	hertel_s_exophthalmometry	H ER T EH L Z EH K S AO F TH AE L M AA M EH T R I;
Hibb's	_hibb_s_	H IH B S;
Hibb's	_hibb_s_	H IH B Z;
Hickman line	hickman_line	H IH K M AX N L AI N;
Hilgenreiner's	_hilgenreiner_s_	H IH L G AH N R AI N ER Z;
Hill's y/d	hill_s_y_d	H IH L Z W AI D I;
Hill-Sachs	hill_sachs	H IH L S AA K S;
Hill-Sachs	hill_sachs	H IH L S AE K S;
Hill-Sachs	hill_sachs	H IH L S AE Z;
Hill-Sachs	hill_sachs	H IH L S AE ZH;
Hirschsprung's	_hirschsprung_s_	H ER S K S P R AH NG Z;
Hirschsprung's	_hirschsprung_s_	H ER S S P R AH NG Z;
Hirschsprung's	_hirschsprung_s_	H ER SH S P R AH NG Z;
Hodgkin's	_hodgkin_s_	H AA JH K AH N Z;
Hodgkin's	_hodgkin_s_	H AA JH K IH N Z;
Hoffa's	_hoffa_s_	H AO F AH S;
Hoffa's	_hoffa_s_	H AO F AH Z;
Hoffman's	_hoffman_s_	H AA F M AH N S;
Hoka Bondi	hoka_bondi	H O K AH B AA N D AI;
Hoka Bondi	hoka_bondi	H O K AH B AA N D I;
Hoka Bondi 7	hoka_bondi_7	H O K AH B AA N D I S EH V AH N;
Hoka Clifton	hoka_Clifton	H O K AH K L IH F T AH N;
Hoka's	_hoka_s	H AA K AH S;
Hoka's	_hoka_s	H AA K AH Z;
Homans	_homans_	H O M AE N Z;
Homans	_homans_	H O M AH N S;
Homans	_homans_	H O M AH N Z;
Homans'	_homans_possessive_	H O M AE N Z;
Homans'	_homans_possessive_	H O M AH N Z;
Homans' sign	homans_sign	H O M AE N Z S AI N;
Homans' sign	homans_sign	H O M AH N S AI N;
Homans' sign	homans_sign	H O M AH N S S AI N;
Homans' sign	homans_sign	H O M AH N Z S AI N;
Homberg's	homberg_s	H O M B ER G Z;
Hummingbird TTC	_hummingbird_ttc_	H AH M IH NG B ER D T I T I S I;
Hummingbird tubes	_hummingbird_tubes_	H AH M IH NG B ER D T U B Z;
Huntington's	_huntington_s_	H AH N T IH NG T AH N Z;
Hurthle	_hurthle_	H ER TH AH L;
Hurthle cell	hurthle_cell	H ER TH AH L S EH L;
HydroMARK	_hydromark_	H AI D R AH M AA R K;
HydroMARK	_hydromark_	H AI D R O M AA R K;
Hyfrecator	_hyfrecator_	H AI F R AH K EI T AO R;
I&D	i_and_d	AI AE N D I;
IADLs	i_a_d_l_s	AI EI D I EH L S;
IADLs	i_a_d_l_s	AI EI D I EH L Z;
IRDS	i_r_d_s_	AI AA R D I EH S;
InterDry	_interdry_	IH N ER D R AI;
InterDry	_interdry_	IH N T ER D R AI;
InterDry	inter_dry	IH N T ER D R AI;
InterQual	_interqual_	IH N ER K W AA L;
InterQual	_interqual_	IH N T ER K W AA L;
Jako	_jako_	J AH K O;
Jako	_jako_	JH AE K AH;
Jako	_jako_	JH AH K O;
Jamshidi	_jamshidi_	J AE M SH I D I;
Jobst	_jobst_	JH O B S T;
Judet's	_judet_s	JH U D EH T Z;
Judet's	_judet_s	JH U D EI T Z;
KRAS	k_r_a_s_	K EI R AE S;
KRAS G12C	k_r_a_s_g_12_c	K EI R AE S JH I T W EH L V S I;
Kager's	_kager_s	K AE G EH R Z;
Kager's	_kager_s	K AE G ER Z;
Kager's	_kager_s	K EI G ER Z;
Kambin's	_kambin_s_	K AE M B AH N Z;
Kambin's	_kambin_s_	K AE M B IH N Z;
Kambin's	_kambin_s_	K AE M IH N Z;
Kaposi sarcoma	kaposi_sarcoma	K AX P O S I S AA R K O M AX;
Kaposi's	_kaposi_s_	K AH P O S I Z;
Kartagener's	_kartagener_s_	K AA R T AH JH AH N ER Z;
Kartagener's	_kartagener_s_	K AA R T AH JH EH N ER Z;
Kartagener's	_kartagener_s_	K AA R T AH JH I N ER Z;
Kemp's	_kemp_s_	K EH M P S;
Kernig's	_kernig_s_	K ER N IH G Z;
Kessler's	_kessler_s_	K EH S L ER Z;
Ketoderm	_ketoderm_	K I D AH D ER M;
Ketoderm	_ketoderm_	K I D O D ER M;
Ketoderm	_ketoderm_	K I T AH D ER M;
Ketoderm	_ketoderm_	K I T O D ER M;
Ketozole	_ketozole_	K I D O Z O L;
Ketozole	_ketozole_	K I T AH Z AO L;
Ketozole	_ketozole_	K I T O Z O L;
Ki	k_i	K I;
Ki-1	k_i_1	K I W AH N;
Ki-1+	k_i_1+	K I H W AH N P L AH S;
Ki-1+	k_i_1+	K IH H W AH N P L AH S;
Ki-67	k_i_67	K EI AI D AE SH S IH K S T I S EH V AH N;
Ki-67	k_i_67	K EI AI S IH K S T I S EH V AH N;
Ki-67	k_i_67	K EI AI S IH K S T IH S EH V AH N;
Ki-67	k_i_67	K I S IH K S T I S EH V EH N;
Ki-67	k_i_67	K I S IH K S T IH S EH V AH N;
Kinesio	_kinesio_	K IH N I S I O;
Kinesio	_kinesio_	K IH N I Z I O;
Kite's	kite_s	K AI T S;
Klatskin's	_klatskin_s_	K L AE T S K IH N Z;
Klatskin's	_klatskin_s_	K L AH T S K IH N Z;
Klatskin's	_klatskin_s_	K L T S K IH N Z;
Klebsiella	_klebsiella_	K L EH B S I EH L AH;
Klinefelter	_klinefelter_	K L AI N F EH L T ER;
Klinefelter syndrome	klinefelter_syndrome	K L AI N F EH L T ER S IH N D R O M;
Klinefelter's	_klinefelter_s_	K L AI N IH F EH L T ER Z;
Klinefelter's	_klinefelter_s_	K L IH N AH F EH L T ER Z;
Klinefelter's	_klinefelter_s_	K L IH N IH F EH L T ER Z;
Klippel's	_klippel_s_	K L IH P AH L Z;
Klippel's	_klippel_s_	K L IH P L Z;
Kocher's	_kocher_s_	K AO CH ER Z;
Kocher's	_kocher_s_	K O CH EH R Z;
Kocuria kristinae	_kocuria_kristinae_	K O K J UH R I AX K R IH S T IH N EI;
Kocuria kristinae	_kocuria_kristinae_	K O K UH R I AH K R IH S T AH N AI;
Kokmen Short Test of Mental Status	_kokmen_short_test_of_mental_status_	K AA K M AH N SH AO R T EH S T AH V M EH N T AH L S T AE T AH S;
Kokmen Short Test of Mental Status	_kokmen_short_test_of_mental_status_	K O K M AH N SH AO R T EH S T AH V M EH N T AH L S T AE T AH S;
LMUAC	l_m_u_a_c	EH L EH M J U EI S I;
LUTS	_luts_	L AH T S;
Lachman's	_lachman_s_	L AE K M AE N Z;
Lachman's	_lachman_s_	L AE K M AH N Z;
Lahaina	lahaina	L AH H AI N AH;
Lahaina disease	lahaina_disease	L AH H AI N AH D IH Z I Z;
Laird	_laird_	L EH R D;
Laird method	laird_method	L EH R D M EH TH AH D;
Lansky Performance Scale	lansky_performance_scale	L AE N S K I P ER F AO R M AX N S K EI L;
Lansky Play Scale	lansky_play_scale	L AE N S K I P L EI S K EI L;
Lansky Play-Performance Scale	lansky_play_performance_scale	L AE N S K I P L EI P ER F AO R M AX N S K EI L;
Lasegue's	_lasegue_s_	L AE S EH G J U Z;
Lasegue's	_lasegue_s_	L AE S EH G Z;
Latarjet	_latarjet_	L AE D ER JH EI;
Latarjet	_latarjet_	L AE T AA R ZH EI;
Latarjet procedure	latarjet_procedure	L AE D ER ZH EI P R O S I JH ER;
Leber's	_leber_s_	L EI B ER R Z;
Lee Silverman Voice Treatment	lee_silverman_voice_treatment	L I S IH L V ER M AE N V OI S T R I T M EH N T;
Lemierre's	_lemierre_s_	L EH M I EH R Z;
Lemierre's	_lemierre_s_	L EH M IH R EH Z;
Lemierre's	_lemierre_s_	L EH M IH R Z;
Leneva	_leneva_	L AH N I V AH;
Leneva	_leneva_	L EH N EH V AH;
Leneva	_leneva_	L EH N I V AH;
Lhermitte	_lhermitte_	L EH R M I T;
Lhermitte	_lhermitte_	L EH R M IH T;
Lhermitte	_lhermitte_	L ER M IH T;
Lhermitte's	_lhermitte_s_	L EH R M I T S;
Lhermitte's	_lhermitte_s_	L EH R M IH T S;
Lhermitte's	_lhermitte_s_	L ER M I T S;
Lhermitte's sign	_lhermitte_s_sign_	L EH R M I T S AI N;
Lhermitte's sign	_lhermitte_s_sign_	L ER M I T S AI N;
Liesegang	_liesegang_	L I Z AH G AA NG;
Liesegang rings	_liesegang_rings_	L I Z AH G AA NG R IH NG Z;
Life Alert	life_alert	L AI F AH L ER T;
Lipotransfer	_lipotransfer_	L AI P AH T R AE N S F ER;
Lipotransfer	_lipotransfer_	L AI P O T R AE N S F ER;
Lisfranc	_lisfranc_	L IH Z F R AA N K;
Lisfranc	_lisfranc_	L IH Z F R EI N K;
Lisfranc's	_lisfranc_s_	L IH S F R AE NG K S;
Livedo reticularis	_livedo_reticularis_	L AX V EI D O R AX T IH K J U L EH R AX S;
Livedo reticularis	_livedo_reticularis_	L AX V I D O R AX T IH K J U L EH R AX S;
Livedo reticularis	_livedo_reticularis_	L IH V EI D O R EH T IH K J U L EH R IH S;
Livedo reticularis	_livedo_reticularis_	L IH V I D O R EH T IH K J U L EH R IH S;
Loeffler's	_loeffler_s_	L O F L ER Z;
Lokomat	_lokomat_	L AA K O M AE T;
Lokomat	_lokomat_	L O K O M AE T;
Lotus Edge	_lotus_edge_	L O D AH S EH JH;
Lotus Edge	_lotus_edge_	L O T AH S EH JH;
Lou Gehrig's	lou_gehrig_s	L AU G EH R IH G Z;
Lou Gehrig's	lou_gehrig_s	L U G EH R IH G Z;
Lou Gehrig's	lou_gehrig_s	L U JH EH R IH G Z;
Lugol's	_lugol_s_	L U G AH L Z;
Luschka's	_luschka_s_	L AH SH K AH Z;
Luschka's	_luschka_s_	L U SH K AH Z;
Lycoperdon	_lycoperdon_	L AI K O P EH R D AO N;
Lycoperdon pyriforme	lycoperdon_pyriforme	L AI K O P EH R D AO N P AI R AH F AO R M;
Lycopodium	_lycopodium_	L AI K AH P O D I AH M;
Lycopodium	_lycopodium_	L AI K O P O D I AH M;
Lyme	_lyme_	L AI M;
Lyme's	lyme_s	L AI M Z;
M-series	m_series	EH M S IH R I Z;
M-spike	m_spike	EH M S P AI K;
M1a	m_1_a	EH M W AA N EI;
M1b	m_1_b	EH M W AA N B I;
M1c	m_1_c	EH M W AA N S I;
MAC	_mac_	M AE K;
MAC	m_a_c	EH M EI S I;
MACS	m_a_c_s	M AE K S;
MAHC-10	mahc_10	M AA K T EH N;
MAHC-10 Score	mahc_10_score	M AA K T EH N S K AO R;
MAdCAM-1	madcam_1	M AE D K AE M W AH N;
MELD	m_e_l_d	M EH L D;
MELD score	m_e_l_d_score	M EH L D S K AO R;
MIS-C	m_i_s_c	EH M AI EH S D AE SH S I;
MOS	_mos_	M O Z;
MRI/MRA	mri_mra	EH M AA R AI EH M AA R EI;
MRI/MRA	mri_mra	EH M AA R AI S L AE SH EH M AA R EI;
MSLT test	mslt_test	EH M EH S EH L T I T EH S T;
MUGA	m_u_g_a	M AH G AH;
MUGA	m_u_g_a	M U G AA;
MUGA scan	m_u_g_a_scan	M AH G AH S K AE N;
MUGA scan	m_u_g_a_scan	M U G AH S K AE N;
Mac-3	m_a_c_3	M AE K TH R I;
Mac-4	m_a_c_4	M AE K F AO R;
Maddox	maddox	M AE D AH K S;
Maddox rod	maddox_rod	M AE D AA K S R AA D;
Madelung's	_madelung_s_	M AE D L AH NG Z;
Madelung's	_madelung_s_	M AE T AH L AH NG Z;
Madelung's	_madelung_s_	M EI D L AH NG Z;
Mallampati	_mallampati_	M AA L AX M P AA D I;
Mallampati	_mallampati_	M AE L AE M P AA T I;
Mallampati	_mallampati_	M AE L AX M P AA T I;
Marfan's	_marfan_s_	M AA R F AE N Z;
Marfan's	_marfan_s_	M AA R F AH N Z;
Mastisol	_mastisol_	M AE S T AH S AA L;
Mastisol	_mastisol_	M AE S T AH S AO L;
Mastisol	_mastisol_	M AE S T IH S AA L;
Mastisol	_mastisol_	M AE S T IH S AH L;
Mastisol	_mastisol_	M AE S T IH S AO L;
Max assist	max_assist	M AE K S AH S IH S T;
McBurney's	mc_burney_s	M AH K B ER N I Z;
McBurney's	mc_burney_s	M IH K B ER N I Z;
McMurray's	mcmurray_s	M AH K M ER I Z;
McMurray's	mcmurray_s	M IH K M ER R I Z;
Meary's	_meary_s_	M IH R I Z;
Meckel's	_meckel_s_	M EH K AH L Z;
Medpod	Medpod	M EH D P AA D;
Medrol	_medrol_	M EH D R AA L;
Melendez	_melendez_	M AX L EH N D EH Z;
Melendez	_melendez_	M EH L EH N D EH Z;
Menetrier's	_menetrier_s_	M EH N AH T R AI ER Z;
Menetrier's	_menetrier_s_	M EH N EH T R AI ER Z;
Menetrier's	_menetrier_s_	M EI N EI T R AI ER Z;
Meniere's	_meniere_s_	M EH N I R Z;
Meniere's	_meniere_s_	M EH N J EH R Z;
Milgram's	milgram_s	M IH L G R AE M Z;
Milgram's	milgram_s	M IH L G R AH M Z;
Min assist	min_assist	M IH N AH S IH S T;
Minnesota Multiphasic Personality Inventory	minnesota_multiphasic_personality_inventory	M IH N AH S O D AH M AH L T AI F EI Z IH K P ER S AH N AE L AH D I IH N V AH N T AO R I;
Mitek	_mitek_	M AI T EH K;
Mitek	_mitek_	M AI T IH K;
Mitek GII	mitek_gii	M AI T EH K JH I T U;
Mitek GII Anchor	mitek_gii_anchor	M AI T EH K JH I T U AE N K AO R;
Mitek GII Anchor	mitek_gii_anchor	M AI T EH K JH I T U EH N K AX R;
